Job Title	Company	Location	Link	Source
First-Person AI Video Trainer	micro1 AI	New Orleans, LA	https://www.ziprecruiter.com/jobs-search?location=New+Orleans%2CLA&search=Audio+Visual	ZipRecruiter
Event Coordinator	Orpheum Theater	New Orleans, LA	https://www.ziprecruiter.com/jobs-search?location=New+Orleans%2CLA&search=Audio+Visual	ZipRecruiter
Wedding Videographer	The Pros Weddings	New Orleans, LA	https://www.ziprecruiter.com/jobs-search?location=New+Orleans%2CLA&search=Audio+Visual	ZipRecruiter
New Orleans, Louisiana - Freelance Audio Visual Technician	AV Technical Support	New Orleans, LA	https://www.ziprecruiter.com/jobs-search?location=New+Orleans%2CLA&search=Audio+Visual	ZipRecruiter
Audio Visual Internship - ONSITE - New Orleans Jazz National Historic Park	Environment for the Americas	New Orleans, LA	https://www.ziprecruiter.com/jobs-search?location=New+Orleans%2CLA&search=Audio+Visual	ZipRecruiter
Production A/V Technician	ASM Global	New Orleans, LA	https://www.ziprecruiter.com/jobs-search?location=New+Orleans%2CLA&search=Audio+Visual	ZipRecruiter
On Call Generalist & Specialty Event Services Technician - Louisiana	Pinnacle Live Careers	New Orleans, LA	https://www.ziprecruiter.com/jobs-search?location=New+Orleans%2CLA&search=Audio+Visual	ZipRecruiter
Aggreko Event Services Broadcast Technician	Aggreko	New Orleans, LA	https://www.ziprecruiter.com/jobs-search?location=New+Orleans%2CLA&search=Audio+Visual	ZipRecruiter
IT Support Specialist	Reyes Beverage Group	New Orleans, LA	https://www.ziprecruiter.com/jobs-search?location=New+Orleans%2CLA&search=Audio+Visual	ZipRecruiter
Event Technical Lead, Audio Visual (Part Time Casual)	Encore Global	Kenner, LA	https://www.indeed.com/rc/clk?jk=6aa0d50153f8d53b&bb=GdGIrwiTNUYwgKiNdJkzNKR5eaDOSXKSoafnyapNGz6SSKiQItlrDFZHcfke0_I4IR-LHobG5y4Hj6ZsYd3EKP9RrF-mcENDwFDNTc-POoeCyg7RaUqTXx2UpUPs54gFo5eKNY7H2rNXp-7vfjU2N6d5wEBJIktBhlVfnKajFEp5SkMTJ-ImPw%3D%3D&xkcb=SoDs67M3hrLns2QHwx0LbzkdCdPP&fccid=22591b960c97af15&vjs=3	Indeed
Audio Video and Network Technician	PEMBA	Belle Chasse, LA 70037	https://www.indeed.com/rc/clk?jk=6d45b0f04205cc4f&bb=GdGIrwiTNUYwgKiNdJkzNLXiGbxJsQzAcjaylSnKv7znrGzSUZNaqMHwbK_TZmKbjJAPmhTu2pAj0xlNXS_YTsxpX77cjCWimqz_Uq-V1WQ_fGzWihNsPJorK9-sJDqsoo3xdrT9KDi95ySaPo4Jpl_TPYXAeBxB5--nhPAsVxc3HIl9E_SZ9w%3D%3D&xkcb=SoBY67M3hrLns2QHwx0KbzkdCdPP&fccid=1949b71779c6313e&vjs=3	Indeed
INFORMATION TECHNOLOGY SPECIALIST II (CABLING/ AV SPECIALIST) (CLASS CODE 0163)	City of New Orleans	New Orleans, LA 70112	https://www.indeed.com/rc/clk?jk=bf469fe5d9375a10&bb=GdGIrwiTNUYwgKiNdJkzNEdBlEhqMUWvH6P7fQmF4IxPG_jpTvHeCDKpK5FTVmiCThTagd5O1DldXjzrMANDqONRHN8VtdbtHqo3YAo50sbzNVP-aAoDhpPZliKcvSP8fo5POyjhx-qtn1dj9WVp0Td3aEbeEkpnIP0DTW0qvtykePlDUw_7-w%3D%3D&xkcb=SoDF67M3hrLns2QHwx0JbzkdCdPP&fccid=16b5f9e5bd765ce3&vjs=3	Indeed
Content Curator / Graphic Designer	NOLA Public Schools	New Orleans, LA	https://www.indeed.com/rc/clk?jk=22e444ee462be029&bb=GdGIrwiTNUYwgKiNdJkzND6Q0VVPUMWXAm25uaWp_VS9yhYn1FzaJEEE26xMTsYJ13ONm7y0Q8VN-2AUc5bHt_6E6eXaU4RFdUF8Fqy98RnPuQb4KZdshpkQHpBVto3Y_NsIFjkr4qixX3iV0vAcXne9mHDyK5Bpul_itsTVGSD0vUjkCu2cLA%3D%3D&xkcb=SoBx67M3hrLns2QHwx0IbzkdCdPP&fccid=ddb007fc435e48df&vjs=3	Indeed
