Course Title	Provider	Cost	Description	Link	Source URL
AVIXA-Recognized AV Test (AVT)	AVIXA	Free for AVIXA members	Demonstrate your expertise with this certification test available for AVIXA members.	https://www.avixa.org/training-certification/courses/avixa-recognized-av-technologist-test	https://www.avixa.org/training-section
Color and Visual Associations	University of Colorado Boulder	Free Trial	Understand color theory and its application in visual design and branding.	https://www.coursera.org/learn/color-and-visual-associations	https://www.coursera.org/search?query=audio%20visual
Intermediate Visual Communication Skills for Non-Designers	University of Colorado Boulder	Free Trial	Enhance your visual communication skills and learn principles of design.	https://www.coursera.org/specializations/intermediate-visual-communication-skills-for-non-designers	https://www.coursera.org/search?query=audio%20visual
DaVinci Resolve	Skillshare	Free Trial	Master video editing, post-production, and storytelling techniques using DaVinci Resolve.	https://www.coursera.org/specializations/davinciresolve	https://www.coursera.org/search?query=audio%20visual
Advanced Videography	Skillshare	Free Trial	Explore advanced video production techniques and improve your cinematography skills.	https://www.coursera.org/specializations/advanced-videography	https://www.coursera.org/search?query=audio%20visual
Video Editing & Filmmaking Masterclass	Skillshare	Free Trial	Learn the essential skills required for video editing and filmmaking in a comprehensive masterclass.	https://www.coursera.org/specializations/video-editing-filmmaking-masterclass	https://www.coursera.org/search?query=audio%20visual
Learn Cinematography	Skillshare	Free Trial	Understand the principles of cinematography and its role in visual storytelling.	https://www.coursera.org/specializations/learn-cinematography	https://www.coursera.org/search?query=audio%20visual
Blender for Filmmakers: Bring Your Vision to Life	Skillshare	Free Trial	Learn how to create stunning visual effects using Blender software.	https://www.coursera.org/specializations/blender-for-filmmakers-bring-your-vision-to-life	https://www.coursera.org/search?query=audio%20visual
Film & Video Storytelling: Screenwriting, Shooting & Editing	Skillshare	Free Trial	Develop storytelling skills in film and video production across multiple phases.	https://www.coursera.org/specializations/film-video-storytelling-shooting-editing	https://www.coursera.org/search?query=audio%20visual
The Art of Film and Video Editing	Skillshare	Free Trial	Master the art of video editing and enhance your skills in visual storytelling.	https://www.coursera.org/specializations/the-art-of-film-and-video-editing	https://www.coursera.org/search?query=audio%20visual
DaVinci Resolve 19 Masterclass: Audio & Visual Polish	Skillshare	Free Trial	Elevate your post-production skills with advanced editing techniques in DaVinci Resolve.	https://www.coursera.org/learn/davinci-resolve-19-masterclass-audio--visual-polish	https://www.coursera.org/search?query=audio%20visual
Music Production	Berklee	Free Trial	Learn skills in audio production, musical composition, media production, and more.	https://www.coursera.org/specializations/music-production	https://www.coursera.org/search?query=sound%20engineering
Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics	University of Rochester	Free Trial	Gain knowledge in basic electrical systems, music theory, and electronic engineering.	https://www.coursera.org/learn/audio-engineering	https://www.coursera.org/search?query=sound%20engineering
Electronic Music Production	Berklee	Free Trial	Explore file management and music performance in this comprehensive course on electronic music.	https://www.coursera.org/specializations/electronic-music-production	https://www.coursera.org/search?query=sound%20engineering
The Technology of Music Production	Berklee	Free Trial	Learn the technological aspects of music production including editing and software.	https://www.coursera.org/learn/technology-of-music-production	https://www.coursera.org/search?query=sound%20engineering
Modern Sound Editing	University of Colorado Boulder	Free Trial	Develop skills in post-production, editing, and visual storytelling.	https://www.coursera.org/learn/modern-sound-editing	https://www.coursera.org/search?query=sound%20engineering
UniFi Full Stack Professional (UFSP)	Ubiquiti Academy	Free	A full-day introductory course on the UniFi full-stack software suite, covering UniFi Site Manager and physical security solutions.	https://www.ui.com/training/#courses:UFSP	https://www.ui.com/training/
Power Amplifier Calculator	SynAudCon	Free	A free 'power amplifier calculator' to help select the proper amplifier with an included video tutorial.	https://www.prosoundtraining.com/2016/07/19/power-amplifier-calculator/	https://www.prosoundtraining.com/?s=free+training
The Signal Chain Training Module	SynAudCon	Free	Free demonstration of an interactive web-based training module, part of Level 100 training, with a corresponding quiz.	https://www.prosoundtraining.com/2011/03/07/synaudcon-web-based-training-demo-and-self-evaluation-quizzes-now-available/	https://www.prosoundtraining.com/?s=free+training
Certified Tech Specialist (CTS)	AVIXA	Paid	Earn the industry-recognized certification demonstrating your AV expertise.	https://www.avixa.org/training-certification/certification/cts-certification	https://www.avixa.org/training-section
Certified Tech Specialist Installer (CTS-I)	AVIXA	Paid	Certification aimed at AV integrators demonstrating installation expertise.	https://www.avixa.org/training-certification/certification/cts-i-certification	https://www.avixa.org/training-section
Certified Tech Specialist Designer (CTS-D)	AVIXA	Paid	Focuses on design aspects of AV systems for certified professionals.	https://www.avixa.org/training-certification/certification/cts-d-certification	https://www.avixa.org/training-section
Audiovisual Network Pro Certification	AVIXA	Paid	Specialized certification in AV networking, showcasing proficiency in modern AV networks.	https://www.avixa.org/training-certification/certification/anp-certification	https://www.avixa.org/training-section
CTS Quick Prep at InfoComm 2026	AVIXA	Paid	Preparation course aimed at those approaching the CTS exam, featuring test-taking strategies.	https://www.avixa.org/training-certification/courses/cts-quick-prep-certification-overview-and-study-drills-infocomm-india-2026	https://www.avixa.org/training-section
CTS 2: Applied AV and AV Project Process	AVIXA	Paid	In-depth training for AV professionals covering applied AV concepts and project processes.	https://www.avixa.org/training-certification/courses/cts-2-applied-av-and-av-project-process-copenhagenNov2026	https://www.avixa.org/training-section
Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics	University of Rochester	Paid	Learn the basics of audio and music engineering, explore music theory, and gain insights into electrical systems.	https://www.coursera.org/learn/audio-engineering	https://www.coursera.org/search?query=audio%20visual
The Art of Filmmaking	California Institute of the Arts	Paid	Discover the art of visual storytelling, editing, and post-production using Adobe Premiere.	https://www.coursera.org/specializations/filmmaking	https://www.coursera.org/search?query=audio%20visual
UniFi Wireless Admin (UWA)	Ubiquiti Academy	Paid	A 2-day training course focused on enterprise Wireless Networking, emphasizing best practices for designing and managing UniFi WLANs.	https://www.ui.com/training/#courses:UWA	https://www.ui.com/training/
UniFi Routing, Switching & Cybersecurity Admin (URSCA)	Ubiquiti Academy	Paid	A 2-3 day training course teaching the fundamentals of designing, building, and managing enterprise networks.	https://www.ui.com/training/#courses:URSCA	https://www.ui.com/training/
